,job_title,company_name,location,job_type,job_skills,time
0,Senior Data Analyst,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt ",Full TimeExperienced ,[' Business Development · Analyst/Research · Analysis · analytical · Analyst · Business Intelligence · business · Data · Data Analysis · Information Technology (IT)'], 2 - 5 Yrs of Exp 
1,Data Analyst,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced ,[' Business Development · Analyst/Research · analytical · Analyst · Data · Data Analyst'], 2 - 6 Yrs of Exp 
2,Data Analyst,Othaim -,"Katameya, Cairo, Egypt ",Full TimeExperienced ,[' IT/Software Development · Analyst/Research · Computer Science · Information Technology (IT) · Data Analysis · Analyst'], 3 - 15 Yrs of Exp 
3,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Full TimeExperienced ,[' IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting'], 1 - 3 Yrs of Exp 
4,Data Analyst,Hands of Hope Physical Therapy & Wellness -,"Maadi, Cairo, Egypt ",Full TimeExperienced ,[' R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau'], 3 - 5 Yrs of Exp 
5,ERPNext Specialist/Data Analyst,Confidential -,"Alexandria, Egypt ",Full TimeExperienced ,[' IT/Software Development · Business Intelligence · BI · Data Analyst · Data Mining · Power BI · Data Analysis · ERPNext · ERP Implementation · Technical Support'], 5+ Yrs of Exp 
6,Data Analyst,Natcom -,"Cairo, Egypt ",Full TimeExperienced ,[' Sales/Retail · Sales · Retail · Retail Sales · Retail Business'], 2 - 6 Yrs of Exp 
7,Data Analyst,Nugttah -,"Cairo, Egypt ",Full TimeEntry Level ,[' IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Data Analysis · Data visualization · Data'], 1 - 4 Yrs of Exp 
8,Senior Business Analyst,Guardian towing -,"Cairo, Egypt ",Full TimeManager ,[' Business Development · Project/Program Management · Analyst/Research · python · Power BI · Forcasting · Business Development · Financial Data Analysis · Process Improvement · Microsoft Excel'], 3+ Yrs of Exp 
9,Software Business Analyst,WSC -,"Dokki, Giza, Egypt ",Full TimeExperienced ,[' IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Data · Software · Communication skills · IT'], 3 - 6 Yrs of Exp 
10,Market Research Analyst,Gap Polymers  -,"Maadi, Cairo, Egypt ",Full TimeExperienced ,[' Marketing/PR/Advertising · Analyst/Research · E-Marketing · Data Collection · Market Research · Marketing · Research · Statistics · Economics · online survey'], 1 - 3 Yrs of Exp 
11,Financial Analyst - Innoventures,Cultiv -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced ,[' Accounting/Finance · Analyst/Research · Financial Analysis · Finance · Accounting · Analysis · Financial · Economics · Excel · Computer Skills'], 2 - 5 Yrs of Exp 
12,Business analyst,Dawi Clinics -,"Maadi, Cairo, Egypt ",Full TimeExperienced ,[' IT/Software Development · Analyst/Research · Analysis · Business Analysis · Data · Information Technology (IT) · Information technology · Power BI · BI · Technical Writing'], 2 - 3 Yrs of Exp 
13,Senior Sales Analyst (Power BI),Alarabia Group -,"10th of Ramadan City, Cairo, Egypt ",Full TimeExperienced ,[' males_only · IT/Software Development · Analyst/Research · Sales/Retail · Computer Science · Customer Service · Design · Development · Experience · Management · Sales'], 2 - 5 Yrs of Exp 
14,Data Analyst (On-Site),Union Coop -,"Dokki, Giza, Egypt ",Full TimeExperienced ,[' IT/Software Development · Analyst/Research · Computer Science · Power BI · SSIS · SSRS · SSAS · Data Warehouse · Information Technology (IT) · ETL'], 6+ Yrs of Exp 
